date,fwi,fbupinx,drtcode,dufmcode,ffmcode,fdsrte,infsinx
2003-03-28,2.542197,28.002745,251.81181,17.492924,47.90088,0.8210865,0.8393473
2003-03-29,2.6709046,27.49249,250.60745,17.006788,40.33991,0.9815,0.75790054
2003-03-30,2.119769,27.093443,250.85413,16.670712,46.74059,0.6472934,0.65098524
2003-03-31,2.2495465,27.516176,252.51039,17.036251,53.91067,0.6503173,0.87046754
2003-04-01,2.4137194,27.24119,251.10915,16.798382,44.85219,0.75840825,0.7760101
2003-04-02,2.6888473,26.982235,250.25726,16.519209,38.336536,0.93786556,0.77733475
2003-04-03,2.3079033,27.288418,250.97643,16.732813,43.69235,0.71676415,0.67137176
2003-04-04,2.413609,27.474148,251.68266,16.833044,42.85266,0.7631201,0.709078
2003-04-05,2.7390394,28.31427,253.30399,17.46216,51.93345,0.8846043,0.9393685
2003-04-06,3.0212622,28.549538,253.65964,17.582756,46.627422,1.0230764,1.0219177
2003-04-07,3.2443697,29.017187,254.79315,17.885326,46.956936,1.121272,1.1379012
2003-04-08,3.1147728,29.55777,256.12228,18.270075,49.024414,1.0182157,1.09616
2003-04-09,2.7485085,29.178509,255.4916,18.0078,50.804054,0.86135185,1.0280162
2003-04-10,3.0244913,29.220537,255.40291,18.018341,45.75861,1.0013201,1.0625463
2003-04-11,3.2247212,29.099798,254.24043,17.883738,38.41384,1.1702367,0.97574896
2003-04-12,3.036939,29.267187,254.07016,18.026718,40.850536,1.0518982,1.0317521
2003-04-13,3.1682959,29.389225,254.8281,18.22906,49.3727,0.9433402,1.477472
2003-04-14,3.4918377,30.54535,257.58368,19.18833,57.26414,0.998303,1.6901481
2003-04-15,3.8555207,31.945408,261.22162,20.304737,64.58423,1.0930324,1.864782
2003-04-16,4.0814557,33.22689,264.78088,21.331455,67.550476,1.1047127,1.9559639
2003-04-17,4.0506887,34.018055,267.0079,21.908724,66.29771,1.1323296,1.8123105
2003-04-18,4.006849,34.8355,269.69583,22.478048,69.37097,1.1403294,1.8377304
2003-04-19,4.1046133,35.555603,271.96396,22.962017,69.56472,1.1558867,1.9219958
2003-04-20,3.460432,33.5039,264.99982,21.283796,49.01594,1.1269498,1.2968445
2003-04-21,3.4844043,33.156845,263.9417,20.897892,48.687756,1.1857263,1.1580734
2003-04-22,3.2785354,33.242634,264.7845,20.923744,48.782806,1.1107426,1.1054698
2003-04-23,3.7585392,33.60384,265.82217,21.163778,50.32644,1.4098877,1.3043535
2003-04-24,3.5611143,34.20725,267.5735,21.560081,54.78938,1.2223471,1.2666608
2003-04-25,3.4428709,34.609764,268.9196,21.790728,55.809914,1.1165828,1.2116325
2003-04-26,3.2576973,34.905403,270.25415,21.980646,57.15348,1.0108093,1.1660867
2003-04-27,3.3147612,35.14327,271.5382,22.11164,55.577923,1.015607,1.1963167
2003-04-28,3.4888139,36.13894,273.86694,22.901503,63.808437,1.0129193,1.4076537
2003-04-29,3.6431074,37.202194,277.24118,23.70263,69.45979,1.02513,1.5945139
2003-04-30,3.7797651,37.44887,278.3662,23.836655,61.431965,1.0960608,1.5074108
2003-05-01,3.9432228,37.952484,279.53436,24.245667,63.113846,1.2173599,1.5513476
2003-05-02,3.9603598,38.345177,281.06903,24.512854,60.64029,1.2152116,1.5156341
2003-05-03,4.043479,38.940784,282.7962,24.962738,62.677914,1.2536647,1.5381463
2003-05-04,4.1247606,39.852253,285.4074,25.661901,66.22165,1.2876318,1.6042254
2003-05-05,4.036147,39.760834,285.77728,25.559359,59.31621,1.2715193,1.4964774
2003-05-06,3.7406213,38.66392,281.26242,24.778019,43.26281,1.1940081,1.250659
2003-05-07,3.5369797,38.31008,279.7422,24.44815,48.46172,1.1333429,1.2225016
2003-05-08,4.081763,39.171867,281.56412,25.132872,59.38167,1.2998357,1.6585371
2003-05-09,4.4140625,40.166813,284.32596,25.944107,65.0663,1.2812952,1.9651417
2003-05-10,4.6745715,41.23411,286.8553,26.848354,66.41462,1.3115094,2.0854557
